1.282339011242124252e+04,-5.108101971744007460e+04
1.282339011242124980e+04,-5.108101971744011098e+04
1.282339011242121705e+04,-5.108101971744000912e+04
1.282339011242120796e+04,-5.108101971743998001e+04
1.282339011242127526e+04,-5.108101971744017646e+04
1.282339011242122797e+04,-5.108101971744004550e+04
1.282339011242118795e+04,-5.108101971743991453e+04
1.282339011242126435e+04,-5.108101971744014736e+04
1.282339011242117522e+04,-5.108101971743987815e+04
1.282339011242116612e+04,-5.108101971743984905e+04
1.282339011242114429e+04,-5.108101971743976173e+04
1.282339011242115339e+04,-5.108101971743979811e+04
1.282339011242119886e+04,-5.108101971743995091e+04
